id,True_Labels,Predictions,Mean_Probability,Variance
QR102,0,0,0.41706437,0.02073055
MsR11,1,1,0.6611213,0.010759939
LgR143F,0,0,0.083385885,0.0023214421
LmR168D,1,1,0.69016033,0.0042859567
MeR106,0,0,0.25607494,0.01201004
LpR118,1,1,0.91635656,0.0013340408
SgR62,0,0,0.12284932,0.0013795102
CvR64,0,0,0.080354854,0.00085311395
IR179,1,1,0.5130655,0.006346843
BtR143,1,0,0.1591998,0.0076140813
